Final_text_length,N_keyboard_events,Ratio_combination,Ratio_delete,N_paste_events,N_copy_events,Length_per_event,average_consecutive_backspaces,cps,average_thinking_time,pause_frequency,is_cheat_segment
117.0,126.0,0.1709401709401709,0.0769230769230769,0.0,0.0,0.8013698630136986,2.25,5.1084532738698565,0.3513888888888889,36.0,False
174.0,182.0,0.132183908045977,0.0459770114942528,0.0,0.0,0.848780487804878,1.6,4.958452526903692,0.3855882352941177,51.0,False
19.0,13.0,0.1052631578947368,0.6842105263157895,1.0,0.0,1.2666666666666666,13.0,0.6818420224483374,2.84,4.0,True
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.292,1.0,True
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9074410163339384,0.469,1.0,True
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.342,1.0,True
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,True
0.0,28.0,0.0,0.0,0.0,0.0,0.0,28.0,31.46067415730335,0.035,1.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.0,3.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0789307514207535,12.024,3.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.813,1.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1.0,0.0,2.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,True
1.0,0.0,2.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,True
1.0,2.0,0.0,0.0,0.0,0.0,0.5,0.0,12.422360248447204,0.0,0.0,True
1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,6.289308176100628,0.0,0.0,True
1.0,0.0,2.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,True
1.0,0.0,2.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,True
1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,1.231527093596059,0.0,0.0,True
0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,333.3333333333333,0.0,0.0,True
1.0,2.0,0.0,0.0,0.0,0.0,0.5,0.0,10.0,0.0,0.0,True
2.0,3.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,3.9113428943937416,0.599,1.0,True
1.0,2.0,5.0,0.0,0.0,0.0,0.1428571428571428,0.0,1.7301038062283738,0.3874999999999999,2.0,True
1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,41.66666666666666,0.0,0.0,True
1.0,1.0,2.0,0.0,0.0,0.0,0.3333333333333333,0.0,3.690036900369003,0.224,1.0,True
1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,11.627906976744187,0.0,0.0,True
1.0,1.0,6.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.5473453749315819,0.5875,2.0,True
1.0,0.0,2.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,True
0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.981836033382425,2.154,2.0,True
8.0,9.0,0.0,0.125,0.0,0.0,0.8888888888888888,1.0,3.392385978137957,1.048,2.0,True
17.0,17.0,0.0588235294117647,0.0,0.0,0.0,0.9444444444444444,0.0,5.305867665418227,0.45875,4.0,True
33.0,29.0,0.3636363636363636,0.0,0.0,0.0,0.8048780487804879,0.0,3.200883002207506,0.5734000000000001,10.0,True
0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,3.329166666666666,6.0,True
55.0,84.0,0.1454545454545454,0.0181818181818181,0.0,0.0,0.5978260869565217,1.0,4.885425148307548,0.4008695652173912,23.0,False
15.0,18.0,0.3333333333333333,0.1333333333333333,0.0,0.0,0.6521739130434783,1.0,2.882767456758488,0.6829999999999999,6.0,False
226.0,232.0,0.0353982300884955,0.0221238938053097,0.0,0.0,0.9416666666666668,2.5,4.399522120873077,0.5299666666666666,60.0,False
74.0,72.0,0.081081081081081,0.0,0.0,0.0,0.9487179487179488,0.0,4.511560874741528,0.4919473684210526,19.0,False
